date,portfolio_value,fund_value,cash_value,total_value,cost_basis,cash_flow,portfolio_return,benchmark_return,cdi_return,fund_return,consolidated_return,consolidated_cf
2025-10-17,997.35,0.0,12.12,1009.47,987.88,987.88,,,,,,1000.0
2025-10-20,1012.17,0.0,12.12,1024.29,987.88,0.0,0.01485938,0.00774064,0.00042395,0.00063925,0.01468097,0.0
2025-10-21,1004.93,0.0,12.12,1017.05,987.88,0.0,-0.00715295,-0.00293407,0.00091824,0.00048694,-0.00706831,0.0
2025-10-22,1017.15,0.0,12.12,1029.27,987.88,0.0,0.01216005,0.00546899,0.00028222,0.00048183,0.01201514,0.0
2025-10-23,1026.03,0.0,12.12,1038.15,987.88,0.0,0.00873028,0.0058534,0.00063489,0.00025778,0.00862747,0.0
2025-10-24,1045.68,0.0,12.12,1057.8,987.88,0.0,0.01915149,0.00309496,0.00056403,0.00048001,0.0189279,0.0
2025-10-27,1041.5,0.0,12.12,1053.62,987.88,0.0,-0.0039974,0.00545248,0.00042276,0.00049613,-0.0039516,0.0
2025-10-28,1041.66,0.0,12.12,1053.78,987.88,0.0,0.00015362,0.00312991,0.00042258,0.00055129,0.00015186,0.0
2025-10-29,1036.62,0.0,12.12,1048.74,987.88,0.0,-0.00483843,0.00816664,0.00042251,0.00044974,-0.00478278,0.0
2025-10-30,1027.31,0.0,12.12,1039.43,987.88,0.0,-0.00898111,0.00098901,0.00098522,0.0003234,-0.00887732,0.0
2025-10-31,1041.94,0.0,12.12,1054.06,987.88,0.0,0.01424108,0.00510821,0.00049207,0.00049328,0.01407502,0.0
2025-11-03,1942.11,0.0,90.14,2032.25,1911.11,921.98,-0.02093211,0.00611208,0.00049194,0.00047964,-0.02069142,1000.0
2025-11-04,1939.5,0.0,90.14,2029.64,1911.11,0.0,-0.0013439,0.00166164,0.00063209,0.00047046,-0.00128429,0.0
2025-11-05,1921.91,0.0,90.14,2012.05,1911.11,0.0,-0.00906935,0.01718601,0.00035097,0.00052093,-0.00866656,0.0
2025-11-06,1907.6,0.0,90.14,1997.74,1911.11,0.0,-0.00744572,0.00029355,0.00077183,0.00052336,-0.00711215,0.0
2025-11-07,1909.44,0.0,90.14,1999.58,1911.11,0.0,0.00096456,0.00472809,0.00021033,0.0005546,0.00092104,0.0
2025-11-10,1563.95,0.0,440.46,2004.41,1582.82,-350.32,0.00252954,0.00774354,0.00056079,0.00055976,0.00241551,0.0
2025-11-11,0.0,0.0,2027.15,2027.15,0.0,-1586.69,0.01454011,0.01605081,0.00063049,0.00053426,0.01134498,0.0
2025-11-12,0.0,0.0,1586.69,1586.69,0.0,0.0,,-0.00073535,0.00077015,0.00048557,0.0,-440.46
2025-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,-0.00298795,0.00048966,0.0004646,0.0,-1586.69
2025-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.00367137,0.00055941,0.00057665,,0.0
2025-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,-0.00472933,0.00048925,0.00051936,,0.0
2025-11-18,0.0,0.0,0.0,0.0,0.0,0.0,,-0.00300013,0.00034928,0.00054524,,0.0
2025-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,-0.00728971,0.00069821,0.00047956,,0.0
2025-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
2025-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,-0.00393227,0.00020933,0.00053145,,0.0
2025-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.00328229,0.00076741,0.00044717,,0.0
2025-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.00407012,0.00076682,0.00051123,,0.0
2025-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.01696492,0.00041793,0.00049589,,0.0
2025-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,-0.00165873,0.00055704,0.00057855,,0.0
2025-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0049276,0.00062628,0.00053937,,0.0
2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,-0.00289806,0.00041736,0.00051922,,0.0
2025-12-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.01564204,0.00041708,0.00085161,,0.0
2025-12-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.00411566,0.00069482,0.00041926,,0.0
2025-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.01669809,0.00034722,0.00048913,,0.0
2025-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,-0.04309359,0.0006942,0.00047271,,0.0
