run_id,timestamp,engine_version,min_stocks,max_stocks,stocks,weights,sharpe_ratio,final_value,roi_percent,expected_return_annual_pct,expected_volatility_annual_pct,scoring_run_id,sharpe_forward
20260307-064253,2026-03-07 07:01:02,2.1.0,5,20,"AURA33.SA, MDNE3.SA, PLPL3.SA, PETR3.SA, PRNR3.SA","0.6733, 0.2132, 0.0697, 0.0195, 0.0244",0.9014,7247.72,44.95,44.95,33.23,,
20260307-072824,2026-03-07 07:45:25,2.1.0,5,20,"PLPL3.SA, KEPL3.SA, SAPR11.SA, AURA33.SA, MDNE3.SA","0.0874, 0.002, 0.0303, 0.6413, 0.239",0.9013,7229.62,44.59,44.59,32.83,,
20260307-074514,2026-03-07 08:05:25,2.1.0,5,20,"SAPR11.SA, PETR3.SA, AURA33.SA, PLPL3.SA, MDNE3.SA","0.0037, 0.008, 0.6132, 0.1179, 0.2573",0.8999,7225.71,44.51,44.51,32.8,,
20260328-185359,2026-03-29 03:46:05,2.1.0,5,20,"UGPA3.SA, DASA3.SA, AURA33.SA, VALE3.SA, ENEV3.SA, AXIA6.SA, PNVL3.SA","0.1613, 0.0256, 0.2219, 0.1331, 0.2412, 0.0323, 0.1847",,9302.35,86.05,86.05,23.11,20260328-185359,3.0845
20260329-101714,2026-03-29 11:24:24,2.1.0,5,20,"PNVL3.SA, RADL3.SA, VALE3.SA, AURA33.SA, UGPA3.SA, DASA3.SA, ENEV3.SA","0.1965, 0.0301, 0.1238, 0.2056, 0.1833, 0.028, 0.2327",,9260.57,85.21,85.21,22.86,20260329-101714,3.0826
20260330-200710,2026-03-30 20:37:00,2.1.0,5,20,"PNVL3.SA, VALE3.SA, NEOE3.SA, UGPA3.SA, ENEV3.SA, DASA3.SA, AURA33.SA","0.1884, 0.1344, 0.1893, 0.1195, 0.175, 0.0242, 0.1691",,8824.97,76.5,76.5,19.52,20260330-200710,3.1638
20260331-210616,2026-03-31 21:30:54,2.1.0,5,20,"ENEV3.SA, PNVL3.SA, UGPA3.SA, AURA33.SA, NEOE3.SA, VALE3.SA","0.1781, 0.1799, 0.1368, 0.1677, 0.2192, 0.1183",,8755.72,75.11,75.11,19.06,20260331-210616,3.1677
20260402-134924,2026-04-02 14:09:43,2.1.0,5,20,"ORVR3.SA, ENEV3.SA, JBSS32.SA, AXIA6.SA, DASA3.SA, VBBR3.SA, PNVL3.SA, VALE3.SA","0.0001, 0.2457, 0.0323, 0.1872, 0.0253, 0.0756, 0.1625, 0.2713",,8506.67,70.13,70.13,19.86,20260402-134924,2.7884
20260403-090929,2026-04-03 09:29:40,2.1.0,5,20,"ENEV3.SA, AXIA6.SA, VBBR3.SA, DASA3.SA, PNVL3.SA, VALE3.SA, JBSS32.SA","0.1962, 0.1677, 0.1266, 0.0273, 0.1307, 0.3335, 0.018",,8455.74,69.11,69.11,19.41,20260403-090929,2.8011
20260404-072616,2026-04-04 07:46:29,2.1.0,5,20,"VBBR3.SA, VALE3.SA, AXIA6.SA, PNVL3.SA, ENEV3.SA, DASA3.SA","0.1354, 0.2926, 0.1885, 0.1267, 0.2263, 0.0306",,8544.04,70.88,70.88,20.05,20260404-072616,2.7991
20260406-211427,2026-04-06 21:41:18,2.1.0,5,20,"DASA3.SA, VBBR3.SA, AXIA6.SA, ENEV3.SA, VALE3.SA, PNVL3.SA, JBSS32.SA","0.0376, 0.1135, 0.1577, 0.2098, 0.3316, 0.1284, 0.0214",,8482.0,69.64,69.64,19.6,20260406-211427,2.8012
20260406-222822,2026-04-06 22:46:42,2.1.0,5,20,"AXIA6.SA, PNVL3.SA, ENEV3.SA, DASA3.SA, PETR3.SA, AURA33.SA, VALE3.SA","0.0942, 0.1341, 0.1274, 0.0436, 0.3205, 0.1729, 0.1073",,9393.88,87.88,87.88,19.68,20260406-222822,3.7162
