run_id,run_timestamp,scoring_version,Sector,SectorMedianPE
20260307-064253,2026-03-07 06:42:53,3.0.0,Basic Materials,7.21810735
20260307-064253,2026-03-07 06:42:53,3.0.0,Communication Services,10.3540235
20260307-064253,2026-03-07 06:42:53,3.0.0,Consumer Cyclical,8.45
20260307-064253,2026-03-07 06:42:53,3.0.0,Consumer Defensive,7.6801011500000005
20260307-064253,2026-03-07 06:42:53,3.0.0,Energy,7.55462035
20260307-064253,2026-03-07 06:42:53,3.0.0,Financial Services,6.5091286
20260307-064253,2026-03-07 06:42:53,3.0.0,Healthcare,12.468295000000001
20260307-064253,2026-03-07 06:42:53,3.0.0,Industrials,9.323451
20260307-064253,2026-03-07 06:42:53,3.0.0,Real Estate,6.752195
20260307-064253,2026-03-07 06:42:53,3.0.0,Technology,8.07495585
20260307-064253,2026-03-07 06:42:53,3.0.0,Utilities,11.3424585
20260307-072754,2026-03-07 07:27:54,3.0.0,Basic Materials,7.21810735
20260307-072754,2026-03-07 07:27:54,3.0.0,Communication Services,10.3540235
20260307-072754,2026-03-07 07:27:54,3.0.0,Consumer Cyclical,8.45
20260307-072754,2026-03-07 07:27:54,3.0.0,Consumer Defensive,7.6801011500000005
20260307-072754,2026-03-07 07:27:54,3.0.0,Energy,7.55462035
20260307-072754,2026-03-07 07:27:54,3.0.0,Financial Services,6.5091286
20260307-072754,2026-03-07 07:27:54,3.0.0,Healthcare,12.468295000000001
20260307-072754,2026-03-07 07:27:54,3.0.0,Industrials,9.323451
20260307-072754,2026-03-07 07:27:54,3.0.0,Real Estate,6.752195
20260307-072754,2026-03-07 07:27:54,3.0.0,Technology,8.07495585
20260307-072754,2026-03-07 07:27:54,3.0.0,Utilities,11.3424585
20260307-074513,2026-03-07 07:45:13,3.0.0,Basic Materials,7.21810735
20260307-074513,2026-03-07 07:45:13,3.0.0,Communication Services,10.3540235
20260307-074513,2026-03-07 07:45:13,3.0.0,Consumer Cyclical,8.45
20260307-074513,2026-03-07 07:45:13,3.0.0,Consumer Defensive,7.6801011500000005
20260307-074513,2026-03-07 07:45:13,3.0.0,Energy,7.55462035
20260307-074513,2026-03-07 07:45:13,3.0.0,Financial Services,6.5091286
20260307-074513,2026-03-07 07:45:13,3.0.0,Healthcare,12.468295000000001
20260307-074513,2026-03-07 07:45:13,3.0.0,Industrials,9.323451
20260307-074513,2026-03-07 07:45:13,3.0.0,Real Estate,6.752195
20260307-074513,2026-03-07 07:45:13,3.0.0,Technology,8.07495585
20260307-074513,2026-03-07 07:45:13,3.0.0,Utilities,11.3424585
20260328-185359,2026-03-28 18:57:00,3.0.0,Basic Materials,7.019259
20260328-185359,2026-03-28 18:57:00,3.0.0,Communication Services,11.20358725
20260328-185359,2026-03-28 18:57:00,3.0.0,Consumer Cyclical,6.937668
20260328-185359,2026-03-28 18:57:00,3.0.0,Consumer Defensive,7.5983348
20260328-185359,2026-03-28 18:57:00,3.0.0,Energy,6.815016
20260328-185359,2026-03-28 18:57:00,3.0.0,Financial Services,6.210372
20260328-185359,2026-03-28 18:57:00,3.0.0,Healthcare,9.5625
20260328-185359,2026-03-28 18:57:00,3.0.0,Industrials,9.073845
20260328-185359,2026-03-28 18:57:00,3.0.0,Real Estate,4.5865192
20260328-185359,2026-03-28 18:57:00,3.0.0,Technology,8.1241495
20260328-185359,2026-03-28 18:57:00,3.0.0,Utilities,11.166934999999999
20260329-101714,2026-03-29 10:19:15,3.0.0,Basic Materials,7.019259
20260329-101714,2026-03-29 10:19:15,3.0.0,Communication Services,11.20358725
20260329-101714,2026-03-29 10:19:15,3.0.0,Consumer Cyclical,6.937668
20260329-101714,2026-03-29 10:19:15,3.0.0,Consumer Defensive,7.5983348
20260329-101714,2026-03-29 10:19:15,3.0.0,Energy,6.815016
20260329-101714,2026-03-29 10:19:15,3.0.0,Financial Services,6.210372
20260329-101714,2026-03-29 10:19:15,3.0.0,Healthcare,9.5625
20260329-101714,2026-03-29 10:19:15,3.0.0,Industrials,9.073845
20260329-101714,2026-03-29 10:19:15,3.0.0,Real Estate,4.5865192
20260329-101714,2026-03-29 10:19:15,3.0.0,Technology,8.1241495
20260329-101714,2026-03-29 10:19:15,3.0.0,Utilities,11.166934999999999
20260330-200710,2026-03-30 20:09:22,3.0.0,Basic Materials,7.2272367
20260330-200710,2026-03-30 20:09:22,3.0.0,Communication Services,11.054854500000001
20260330-200710,2026-03-30 20:09:22,3.0.0,Consumer Cyclical,6.9870753
20260330-200710,2026-03-30 20:09:22,3.0.0,Consumer Defensive,7.680877
20260330-200710,2026-03-30 20:09:22,3.0.0,Energy,6.661241
20260330-200710,2026-03-30 20:09:22,3.0.0,Financial Services,6.1646643
20260330-200710,2026-03-30 20:09:22,3.0.0,Healthcare,9.578125
20260330-200710,2026-03-30 20:09:22,3.0.0,Industrials,9.04918
20260330-200710,2026-03-30 20:09:22,3.0.0,Real Estate,4.603516
20260330-200710,2026-03-30 20:09:22,3.0.0,Technology,8.0867495
20260330-200710,2026-03-30 20:09:22,3.0.0,Utilities,11.3348635
20260331-210616,2026-03-31 21:08:39,3.0.0,Basic Materials,7.4144173
20260331-210616,2026-03-31 21:08:39,3.0.0,Communication Services,11.846873500000001
20260331-210616,2026-03-31 21:08:39,3.0.0,Consumer Cyclical,7.2135277
20260331-210616,2026-03-31 21:08:39,3.0.0,Consumer Defensive,8.154349
20260331-210616,2026-03-31 21:08:39,3.0.0,Energy,6.5823953
20260331-210616,2026-03-31 21:08:39,3.0.0,Financial Services,6.399062
20260331-210616,2026-03-31 21:08:39,3.0.0,Healthcare,9.703125
20260331-210616,2026-03-31 21:08:39,3.0.0,Industrials,9.213115
20260331-210616,2026-03-31 21:08:39,3.0.0,Real Estate,4.8655047
20260331-210616,2026-03-31 21:08:39,3.0.0,Technology,8.5279145
20260331-210616,2026-03-31 21:08:39,3.0.0,Utilities,11.615414
20260402-134924,2026-04-02 13:51:30,3.0.0,Basic Materials,7.528805
20260402-134924,2026-04-02 13:51:30,3.0.0,Communication Services,11.8810955
20260402-134924,2026-04-02 13:51:30,3.0.0,Consumer Cyclical,7.1311812
20260402-134924,2026-04-02 13:51:30,3.0.0,Consumer Defensive,8.04256165
20260402-134924,2026-04-02 13:51:30,3.0.0,Energy,6.509221650000001
20260402-134924,2026-04-02 13:51:30,3.0.0,Financial Services,6.3451505
20260402-134924,2026-04-02 13:51:30,3.0.0,Healthcare,9.334345
20260402-134924,2026-04-02 13:51:30,3.0.0,Industrials,9.443632
20260402-134924,2026-04-02 13:51:30,3.0.0,Real Estate,4.829637
20260402-134924,2026-04-02 13:51:30,3.0.0,Technology,8.5641917
20260402-134924,2026-04-02 13:51:30,3.0.0,Utilities,11.657579
20260403-090929,2026-04-03 09:11:27,3.0.0,Basic Materials,7.7485485
20260403-090929,2026-04-03 09:11:27,3.0.0,Communication Services,11.83413325
20260403-090929,2026-04-03 09:11:27,3.0.0,Consumer Cyclical,7.2382317
20260403-090929,2026-04-03 09:11:27,3.0.0,Consumer Defensive,8.0095175
20260403-090929,2026-04-03 09:11:27,3.0.0,Energy,6.50837735
20260403-090929,2026-04-03 09:11:27,3.0.0,Financial Services,6.400234
20260403-090929,2026-04-03 09:11:27,3.0.0,Healthcare,9.451024
20260403-090929,2026-04-03 09:11:27,3.0.0,Industrials,9.580292
20260403-090929,2026-04-03 09:11:27,3.0.0,Real Estate,4.8589587
20260403-090929,2026-04-03 09:11:27,3.0.0,Technology,8.617764300000001
20260403-090929,2026-04-03 09:11:27,3.0.0,Utilities,11.679965500000002
20260404-072616,2026-04-04 07:27:46,3.0.0,Basic Materials,7.7485485
20260404-072616,2026-04-04 07:27:46,3.0.0,Communication Services,11.83413325
20260404-072616,2026-04-04 07:27:46,3.0.0,Consumer Cyclical,7.2382317
20260404-072616,2026-04-04 07:27:46,3.0.0,Consumer Defensive,8.0095175
