transaction_id,portfolio,trade_date,settlement_date,broker_document,broker,ticker,isin,side,quantity,unit_price,gross_value,currency,fx_rate,order_type,broker_order_id,notes,import_ts
15030227-1,MAIN,17/10/2025,21/10/2025,15030227,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",COPASA ON NM,,BUY,16,35.6000,569.60,BRL,1.0,,15030227,COPASA ON NM,2025-11-06T07:00:04.355584
15030227-2,MAIN,17/10/2025,21/10/2025,15030227,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",PLANOEPLANO ON NM,,BUY,15,14.4000,216.00,BRL,1.0,,15030227,PLANOEPLANO ON NM,2025-11-06T07:00:04.355584
15030227-3,MAIN,17/10/2025,21/10/2025,15030227,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",VULCABRAS ON NM,,BUY,10,20.2000,202.00,BRL,1.0,,15030227,VULCABRAS ON NM,2025-11-06T07:00:04.355584
15088606-1,MAIN,03/11/2025,05/11/2025,15088606,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",COPASA ON NM,,BUY,15,37.5600,563.40,BRL,1.0,,15088606,COPASA ON NM,2025-11-06T07:00:04.915981
15088606-2,MAIN,03/11/2025,05/11/2025,15088606,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",PLANOEPLANO ON NM,,BUY,1,14.2000,14.20,BRL,1.0,,15088606,PLANOEPLANO ON NM,2025-11-06T07:00:04.915981
15088606-3,MAIN,03/11/2025,05/11/2025,15088606,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",PLANOEPLANO ON NM,,BUY,1,14.2000,14.20,BRL,1.0,,15088606,PLANOEPLANO ON NM,2025-11-06T07:00:04.915981
15088606-4,MAIN,03/11/2025,05/11/2025,15088606,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",PLANOEPLANO ON NM,,BUY,1,14.2000,14.20,BRL,1.0,,15088606,PLANOEPLANO ON NM,2025-11-06T07:00:04.915981
15088606-5,MAIN,03/11/2025,05/11/2025,15088606,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",PLANOEPLANO ON NM,,BUY,1,14.2000,14.20,BRL,1.0,,15088606,PLANOEPLANO ON NM,2025-11-06T07:00:04.915981
15088606-6,MAIN,03/11/2025,05/11/2025,15088606,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",VULCABRAS ON NM,,BUY,3,23.2900,69.87,BRL,1.0,,15088606,VULCABRAS ON NM,2025-11-06T07:00:04.915981
15088606-7,MAIN,03/11/2025,05/11/2025,15088606,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",VULCABRAS ON NM,,BUY,10,23.2900,232.90,BRL,1.0,,15088606,VULCABRAS ON NM,2025-11-06T07:00:04.915981
15118128-1,MAIN,10/11/2025,12/11/2025,15118128,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",COPASA ON NM,,SELL,11,37.7500,415.25,BRL,1.0,,15118128,COPASA ON NM,2025-11-13T05:54:21.000442
15118128-2,MAIN,10/11/2025,12/11/2025,15118128,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",LAVVI ON NM,,BUY,9,16.1800,145.62,BRL,1.0,,15118128,LAVVI ON NM,2025-11-13T05:54:21.000442
15118128-3,MAIN,10/11/2025,12/11/2025,15118128,"AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A
Av Presidente Juscelino Kubitschek, 1309 - 4o / 5o e 11o SAO PAULO SP CEP",PLANOEPLANO ON NM,,SELL,5,14.9800,74.90,BRL,1.0,,15118128,PLANOEPLANO ON NM,2025-11-13T05:54:21.000442
