generation_timestamp,run_id,engine_version,min_target_stocks,max_target_stocks,data_start_date,data_end_date,stock_pool_considered,optimal_stocks,optimal_weights,sharpe_ratio,expected_annual_return_pct,expected_annual_volatility_pct,final_value,roi_pct,initial_investment
2025-06-07 11:31:32,20250607_095927,1.5.0,5,5,2025-01-02,2025-05-30,"BBDC4.SA, CEAB3.SA, CPLE3.SA, CPLE6.SA, ITSA4.SA, ITUB3.SA, ITUB4.SA, JHSF3.SA, LREN3.SA, ORVR3.SA, PSSA3.SA, RDOR3.SA, TOTS3.SA","CEAB3.SA, ITUB3.SA, JHSF3.SA, PSSA3.SA, TOTS3.SA","0.1759, 0.1712, 0.2418, 0.3563, 0.0548",4.854,127.88,23.31,1667.23,66.72,1000.0
2025-06-07 15:31:01,20250607_121643,1.5.0,5,5,2025-01-02,2025-05-30,"BBDC4.SA, CEAB3.SA, CPLE3.SA, CPLE6.SA, ITSA4.SA, ITUB3.SA, ITUB4.SA, JHSF3.SA, LREN3.SA, ORVR3.SA, PSSA3.SA, RDOR3.SA, TOTS3.SA","CEAB3.SA, ITUB3.SA, JHSF3.SA, PSSA3.SA, TOTS3.SA","0.1949, 0.1708, 0.2173, 0.3712, 0.0457",4.8516,128.25,23.39,1669.39,66.94,1000.0
2025-06-08 21:53:02,20250608_194806,1.5.0,5,5,2025-01-02,2025-05-30,"BBDC4.SA, CEAB3.SA, CPLE3.SA, CPLE6.SA, ITSA4.SA, ITUB3.SA, ITUB4.SA, JHSF3.SA, LREN3.SA, ORVR3.SA, PSSA3.SA, RDOR3.SA, TOTS3.SA","CEAB3.SA, ITUB3.SA, JHSF3.SA, PSSA3.SA, TOTS3.SA","0.1498, 0.1811, 0.2932, 0.3252, 0.0507",4.851,128.18,23.38,1670.82,67.08,1000.0
2025-06-09 03:49:09,20250608_225547,1.5.0,5,5,2025-01-02,2025-05-30,"BBDC4.SA, CEAB3.SA, CPLE3.SA, CPLE6.SA, ITSA4.SA, ITUB3.SA, ITUB4.SA, JHSF3.SA, LREN3.SA, ORVR3.SA, PSSA3.SA, RDOR3.SA, TOTS3.SA","CEAB3.SA, ITUB3.SA, JHSF3.SA, PSSA3.SA, TOTS3.SA","0.1717, 0.1697, 0.2749, 0.3493, 0.0343",4.8532,127.22,23.17,1663.78,66.38,1000.0
2025-06-09 11:43:58,20250609_114349,1.5.0,3,7,2025-01-02,2025-05-30,"ITUB4.SA, LREN3.SA, ORVR3.SA, SRNA3.SA","ITUB4.SA, LREN3.SA, SRNA3.SA","0.4425, 0.0701, 0.4873",5.1571,144.66,25.19,1790.58,79.06,1000.0
2025-06-09 11:45:36,20250609_114510,1.5.0,3,7,2025-01-02,2025-05-30,"ITUB4.SA, LREN3.SA, ORVR3.SA, SRNA3.SA","ITUB4.SA, LREN3.SA, SRNA3.SA","0.4408, 0.0667, 0.4925",5.1574,145.14,25.28,1794.1,79.41,1000.0
2025-06-09 11:47:10,20250609_114629,1.5.0,3,7,2025-01-02,2025-05-30,"B3SA3.SA, ITUB4.SA, LREN3.SA, ORVR3.SA, SRNA3.SA","ITUB4.SA, LREN3.SA, SRNA3.SA","0.4313, 0.0671, 0.5016",5.157,146.17,25.48,1801.05,80.11,1000.0
2025-06-10 12:03:22,20250610_120255,1.5.0,3,10,2025-01-02,2025-04-15,"B3SA3.SA, ITUB4.SA, ORVR3.SA, SRNA3.SA","B3SA3.SA, ITUB4.SA, SRNA3.SA","0.0011, 0.3948, 0.6042",4.8819,158.71,29.49,1568.09,56.81,1000.0
2025-06-10 12:30:24,20250610_122958,1.5.0,3,10,2025-01-02,2025-04-15,"B3SA3.SA, ITUB4.SA, ORVR3.SA, SRNA3.SA","B3SA3.SA, ITUB4.SA, SRNA3.SA","0.0017, 0.4136, 0.5846",4.8826,156.05,28.94,1557.32,55.73,1000.0
2025-06-10 12:36:47,20250610_123605,1.5.0,3,10,2025-01-02,2025-05-30,"B3SA3.SA, ITUB4.SA, LREN3.SA, ORVR3.SA, SRNA3.SA","ITUB4.SA, LREN3.SA, SRNA3.SA","0.4414, 0.0643, 0.4943",5.1573,145.26,25.31,1795.11,79.51,1000.0
