run_id,Date,value
20250807-104233,2021-09-21,1000.0
20250807-104233,2021-09-22,1015.4870937405286
20250807-104233,2021-09-23,1041.2915597123788
20250807-104233,2021-09-24,1049.6644045204912
20250807-104233,2021-09-27,1038.6989374463078
20250807-104233,2021-09-28,1004.1544001818036
20250807-104233,2021-09-29,1013.225369474866
20250807-104233,2021-09-30,1008.1540491396777
20250807-104233,2021-10-01,1024.9571085558541
20250807-104233,2021-10-04,1007.4536580867442
20250807-104233,2021-10-05,997.9523030468512
20250807-104233,2021-10-06,1005.6345483875401
20250807-104233,2021-10-07,1013.1297881936205
20250807-104233,2021-10-08,1033.3955041169606
20250807-104233,2021-10-11,1038.2563897420068
20250807-104233,2021-10-13,1053.9364310029125
20250807-104233,2021-10-14,1057.3184781583614
20250807-104233,2021-10-15,1052.4771657267881
20250807-104233,2021-10-18,1058.8067245664538
20250807-104233,2021-10-19,1023.9022655052388
20250807-104233,2021-10-20,1015.5799380484076
20250807-104233,2021-10-21,992.7194308542955
20250807-104233,2021-10-22,987.0808631842094
20250807-104233,2021-10-25,1008.7114261421158
20250807-104233,2021-10-26,980.4660698200353
20250807-104233,2021-10-27,971.8074355117502
20250807-104233,2021-10-28,959.9103536369885
20250807-104233,2021-10-29,950.4673986884959
20250807-104233,2021-11-01,961.2889455200542
20250807-104233,2021-11-03,967.9463658626138
20250807-104233,2021-11-04,936.330100008131
20250807-104233,2021-11-05,972.8025650832944
20250807-104233,2021-11-08,955.4239642139631
20250807-104233,2021-11-09,970.9753841830019
20250807-104233,2021-11-10,978.9711124469521
20250807-104233,2021-11-11,996.1642760835067
20250807-104233,2021-11-12,983.4904059681356
20250807-104233,2021-11-16,945.8137680540092
20250807-104233,2021-11-17,927.4656005083033
20250807-104233,2021-11-18,932.2678746279643
20250807-104233,2021-11-19,934.6126140516355
20250807-104233,2021-11-22,917.752887519862
20250807-104233,2021-11-23,909.8966587081838
20250807-104233,2021-11-24,900.8861261664895
20250807-104233,2021-11-25,918.1375066467883
20250807-104233,2021-11-26,878.4658520661496
20250807-104233,2021-11-29,888.5048456435543
20250807-104233,2021-11-30,871.465910580846
20250807-104233,2021-12-01,847.9311316420307
20250807-104233,2021-12-02,887.955997934482
20250807-104233,2021-12-03,882.125552233157
20250807-104233,2021-12-06,905.0372266869201
20250807-104233,2021-12-07,904.7985765617199
20250807-104233,2021-12-08,942.6135900131184
20250807-104233,2021-12-09,918.4641107149662
20250807-104233,2021-12-10,941.340271102725
20250807-104233,2021-12-13,922.5637462596279
20250807-104233,2021-12-14,926.1439074206794
20250807-104233,2021-12-15,925.836345817708
20250807-104233,2021-12-16,932.1582010432707
20250807-104233,2021-12-17,937.65069316493
20250807-104233,2021-12-20,911.0295687500259
20250807-104233,2021-12-21,946.6789617250693
20250807-104233,2021-12-22,953.8447226715198
20250807-104233,2021-12-23,958.7975740932068
20250807-104233,2021-12-27,969.9202800895787
20250807-104233,2021-12-28,979.9347015572187
20250807-104233,2021-12-29,976.4257168728423
20250807-104233,2021-12-30,984.6152957339998
20250807-104233,2022-01-03,961.9945096625524
20250807-104233,2022-01-04,954.5900591244948
20250807-104233,2022-01-05,902.3354909563996
20250807-104233,2022-01-06,902.6377837244529
20250807-104233,2022-01-07,903.8412454134034
20250807-104233,2022-01-10,885.8737312282406
20250807-104233,2022-01-11,908.2968017431016
20250807-104233,2022-01-12,933.4580356160717
20250807-104233,2022-01-13,932.9682000447218
20250807-104233,2022-01-14,933.85518668641
20250807-104233,2022-01-17,931.0556722511512
20250807-104233,2022-01-18,911.2631538714209
20250807-104233,2022-01-19,930.920854369353
20250807-104233,2022-01-20,956.7184793320664
20250807-104233,2022-01-21,972.7586507808533
20250807-104233,2022-01-24,970.5792198116629
20250807-104233,2022-01-25,998.1311141625954
20250807-104233,2022-01-26,976.3448486066233
20250807-104233,2022-01-27,970.2992083273002
20250807-104233,2022-01-28,969.3154465584012
20250807-104233,2022-01-31,985.4720972532078
20250807-104233,2022-02-01,1007.6665314881768
20250807-104233,2022-02-02,1000.0699195693885
20250807-104233,2022-02-03,985.5299708134838
20250807-104233,2022-02-04,959.3140518069
20250807-104233,2022-02-07,959.1555149899315
20250807-104233,2022-02-08,966.3039390965237
20250807-104233,2022-02-09,972.439530307286
20250807-104233,2022-02-10,978.5684140726578
20250807-104233,2022-02-11,969.6305774711232
20250807-104233,2022-02-14,961.8639537539143
20250807-104233,2022-02-15,967.3533697253071
20250807-104233,2022-02-16,968.8334596754707
20250807-104233,2022-02-17,964.1662804722935
20250807-104233,2022-02-18,965.6697963476597
20250807-104233,2022-02-21,940.1883741986798
20250807-104233,2022-02-22,938.909148501537
20250807-104233,2022-02-23,927.1942766071928
20250807-104233,2022-02-24,936.3202534801661
20250807-104233,2022-02-25,936.3468397722022
20250807-104233,2022-03-02,916.3247060747635
20250807-104233,2022-03-03,905.540537757268
20250807-104233,2022-03-04,880.6592432078901
20250807-104233,2022-03-07,858.9992048539175
20250807-104233,2022-03-08,865.1712601477695
20250807-104233,2022-03-09,905.1915213400234
20250807-104233,2022-03-10,865.9830370274175
20250807-104233,2022-03-11,848.2382869875713
20250807-104233,2022-03-14,822.3721464266742
20250807-104233,2022-03-15,845.9193709166165
20250807-104233,2022-03-16,861.2546256105502
20250807-104233,2022-03-17,875.967071409694
20250807-104233,2022-03-18,896.817975526272
20250807-104233,2022-03-21,897.0362264973213
20250807-104233,2022-03-22,902.3795124485634
20250807-104233,2022-03-23,899.9437624283655
20250807-104233,2022-03-24,908.1269481082271
20250807-104233,2022-03-25,907.5976899990632
20250807-104233,2022-03-28,894.7936149731908
20250807-104233,2022-03-29,910.4128220913392
20250807-104233,2022-03-30,909.702986224616
20250807-104233,2022-03-31,895.6934612584059
20250807-104233,2022-04-01,906.8876455065317
20250807-104233,2022-04-04,922.0108996038031
20250807-104233,2022-04-05,905.9018863629865
20250807-104233,2022-04-06,907.610928598752
20250807-104233,2022-04-07,900.4961671522431
20250807-104233,2022-04-08,896.2335149509897
20250807-104233,2022-04-11,882.4253863942329
20250807-104233,2022-04-12,869.524410714011
20250807-104233,2022-04-13,881.9623241775037
20250807-104233,2022-04-14,875.8123228934983
20250807-104233,2022-04-18,872.1275057052774
20250807-104233,2022-04-19,882.3329515407493
20250807-104233,2022-04-20,872.3026596935301
20250807-104233,2022-04-22,862.3292836552315
20250807-104233,2022-04-25,865.5840232815576
20250807-104233,2022-04-26,842.7817098238837
20250807-104233,2022-04-27,847.6324026846446
20250807-104233,2022-04-28,864.1005389300811
20250807-104233,2022-04-29,848.9985771469267
20250807-104233,2022-05-02,830.9461606761183
20250807-104233,2022-05-03,833.4798880373629
20250807-104233,2022-05-04,853.4495596079654
20250807-104233,2022-05-05,822.7269104240842
20250807-104233,2022-05-06,815.0885858120503
20250807-104233,2022-05-09,787.0092231909849
20250807-104233,2022-05-10,799.8208464747075
20250807-104233,2022-05-11,787.7404392520557
20250807-104233,2022-05-12,811.2431987955301
20250807-104233,2022-05-13,816.283943046501
20250807-104233,2022-05-16,804.1582772898871
20250807-104233,2022-05-17,808.0503502164768
20250807-104233,2022-05-18,786.5978796753514
20250807-104233,2022-05-19,796.2398837528245
20250807-104233,2022-05-20,793.3263767657639
20250807-104233,2022-05-23,798.4043127776342
20250807-104233,2022-05-24,798.0005476368722
20250807-104233,2022-05-25,794.4016424129067
20250807-104233,2022-05-26,810.3352942196251
20250807-104233,2022-05-27,829.6982248423703
20250807-104233,2022-05-30,825.6462555616679
20250807-104233,2022-05-31,826.6609998403605
20250807-104233,2022-06-01,834.0076213893202
20250807-104233,2022-06-02,841.3067237559067
20250807-104233,2022-06-03,833.4801081325896
20250807-104233,2022-06-06,818.7851096618524
20250807-104233,2022-06-07,822.7643707926331
20250807-104233,2022-06-08,806.9035901451775
20250807-104233,2022-06-09,808.3517348656851
20250807-104233,2022-06-10,792.0508706785907
20250807-104233,2022-06-13,761.7845807481071
20250807-104233,2022-06-14,763.4210156226987
20250807-104233,2022-06-15,774.6883457950767
20250807-104233,2022-06-17,763.8402934837071
20250807-104233,2022-06-20,753.6916859698373
20250807-104233,2022-06-21,759.0192943897821
20250807-104233,2022-06-22,752.2340271521127
20250807-104233,2022-06-23,763.0514476861953
20250807-104233,2022-06-24,764.9833583978784
20250807-104233,2022-06-27,761.1647234050727
20250807-104233,2022-06-28,751.447704872344
20250807-104233,2022-06-29,743.0403022240274
20250807-104233,2022-06-30,744.6961999733203
20250807-104233,2022-07-01,751.9411245503571
20250807-104233,2022-07-04,742.4494759079138
20250807-104233,2022-07-05,738.2412225734121
20250807-104233,2022-07-06,740.3716991264766
20250807-104233,2022-07-07,764.375683184672
