run_id,run_timestamp,scoring_version,Stock,Name,Sector,Industry,CompositeScore,SharpeRatio,PotentialUpside_pct,Momentum,SharpeRatio_norm,PotentialUpside_pct_norm,Momentum_norm,sharpe_weight_used,upside_weight_used,momentum_weight_used,AnnualizedMeanReturn,AnnualizedStdDev,CurrentPrice,TargetPrice,forwardPE,forwardEps,SectorMedianPE
20250812-050603,2025-08-12 05:06:03,3.0.0,MOVI3.SA,Movida Participações S.A.,Industrials,Rental and Leasing Services,0.7220007796746712,-0.04163186396216895,0.22315650258818231,1.1242938028140936,0.7899733218864491,0.07789921759299652,0.7562819351759924,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.12802827650900603,0.5277621850167402,7.519999980926514,9.198136876133272,7.372549,1.02,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,VULC3.SA,Vulcabras S.A.,Consumer Cyclical,Footwear and Accessories,0.7005808723591015,0.39414333065939633,0.26620107424897554,0.1960351515831169,0.9251928364829302,0.08079081310915835,0.4050854946689089,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.39780711407192715,0.6287233470558776,19.61000061035156,24.83020383885021,8.833334,2.22,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,LAVV3.SA,Lavvi Empreendimentos Imobiliários S.A.,Real Estate,Real Estate Services,0.6944608921494816,0.19509521196327007,0.2473260448957062,0.4798379882811281,0.8634289033274266,0.07952284950446882,0.5124591732465124,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.22307380926576498,0.37455460095823545,12.4399995803833,15.516735475103747,6.282828,1.98,7.836735
20250812-050603,2025-08-12 05:06:03,3.0.0,ANIM3.SA,Ânima Holding S.A.,Consumer Defensive,Education and Training Services,0.6914788659162994,-0.13894875909059115,0.041657436330709174,1.0287216589628532,0.75977623062537,0.06570669561105054,0.7201232668051928,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.06961530846347995,0.5785203989055506,3.6700000762939458,3.8228828708058584,7.489796,0.49,7.8018017
20250812-050603,2025-08-12 05:06:03,3.0.0,PLPL3.SA,Plano & Plano Desenvolvimento Imobiliário S.A.,Real Estate,Real Estate - Development,0.6882549727736902,0.22052952190055256,0.3686854542868139,0.37626776544911356,0.871321080501032,0.08767538327352965,0.47327451975268975,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.26674440804994254,0.529382220773998,13.56999969482422,18.573061196982415,5.7257385,2.37,7.836735
20250812-050603,2025-08-12 05:06:03,3.0.0,PNVL3.SA,Dimed S.A. Distribuidora de Medicamentos,Healthcare,Drug Manufacturers - General,0.6865393520331137,-0.1136567693154411,13.94963829609857,0.2732628806244506,0.7676242463517928,1.0,0.43430375566954155,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.10897251616132268,0.36097703714250684,10.210000038146973,152.63580757344985,0.635741,16.06,9.504098
20250812-050603,2025-08-12 05:06:03,3.0.0,ELET6.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities,Utilities - Renewable,0.6591075039634348,0.18058160969683268,0.02963724623378794,0.203308495795671,0.8589253834443861,0.06489921800245516,0.4078372843717513,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.23290125174290546,0.45907914921172355,47.599998474121094,49.01073134962655,9.171483,5.19,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,NEOE3.SA,Neoenergia S.A.,Utilities,Utilities - Regulated Electric,0.6590357883503943,0.03419519996198154,0.14080137205902354,0.4450431285862344,0.8135021938912087,0.07236686549880797,0.4992949211745439,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.16018477083286523,0.29784211948427647,26.81999969482422,30.59629245047806,8.277778,3.24,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,ENGI11.SA,Energisa S.A.,Utilities,Utilities - Regulated Electric,0.6516023993288372,0.12467420862774765,0.024138056314413348,0.2320384440980101,0.8415775129638795,0.0645298001571878,0.4187069439934028,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.18948950665478703,0.31674158664760277,48.040000915527344,49.199593162970814,9.22073,5.21,9.4433005
20250812-050603,2025-08-12 05:06:03,3.0.0,JHSF3.SA,JHSF Participações S.A.,Real Estate,Real Estate - Development,0.6510868061077191,0.017114538587219143,0.37692175105670955,0.3925341218403733,0.8082021245697137,0.08822867113052792,0.47942871659971553,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.1586395674652461,0.5048086701968111,5.349999904632568,7.366531236839905,5.691489,0.94,7.836735
