run_id,run_timestamp,scoring_version,Sector,SectorMedianPE
20250801-112757,2025-08-01 11:27:57,3.0.0,Basic Materials,7.61979815
20250801-112757,2025-08-01 11:27:57,3.0.0,Communication Services,9.684569
20250801-112757,2025-08-01 11:27:57,3.0.0,Consumer Cyclical,10.809585
20250801-112757,2025-08-01 11:27:57,3.0.0,Consumer Defensive,8.377888500000001
20250801-112757,2025-08-01 11:27:57,3.0.0,Energy,4.0451440000000005
20250801-112757,2025-08-01 11:27:57,3.0.0,Financial Services,7.6148755
20250801-112757,2025-08-01 11:27:57,3.0.0,Healthcare,9.22034
20250801-112757,2025-08-01 11:27:57,3.0.0,Industrials,9.3044105
20250801-112757,2025-08-01 11:27:57,3.0.0,Real Estate,7.751825
20250801-112757,2025-08-01 11:27:57,3.0.0,Technology,10.694716399999999
20250801-112757,2025-08-01 11:27:57,3.0.0,Utilities,9.385902999999999
20250804-231608,2025-08-04 23:16:08,3.0.0,Basic Materials,7.05437115
20250804-231608,2025-08-04 23:16:08,3.0.0,Communication Services,10.2409855
20250804-231608,2025-08-04 23:16:08,3.0.0,Consumer Cyclical,11.0627825
20250804-231608,2025-08-04 23:16:08,3.0.0,Consumer Defensive,8.3921855
20250804-231608,2025-08-04 23:16:08,3.0.0,Energy,4.06338025
20250804-231608,2025-08-04 23:16:08,3.0.0,Financial Services,7.54936915
20250804-231608,2025-08-04 23:16:08,3.0.0,Healthcare,9.322034
20250804-231608,2025-08-04 23:16:08,3.0.0,Industrials,8.84575225
20250804-231608,2025-08-04 23:16:08,3.0.0,Real Estate,8.038462
20250804-231608,2025-08-04 23:16:08,3.0.0,Technology,10.6478755
20250804-231608,2025-08-04 23:16:08,3.0.0,Utilities,9.3102775
20250805-063607,2025-08-05 06:36:07,3.0.0,Basic Materials,7.05437115
20250805-063607,2025-08-05 06:36:07,3.0.0,Communication Services,10.2409855
20250805-063607,2025-08-05 06:36:07,3.0.0,Consumer Cyclical,11.0627825
20250805-063607,2025-08-05 06:36:07,3.0.0,Consumer Defensive,8.3921855
20250805-063607,2025-08-05 06:36:07,3.0.0,Energy,4.06338025
20250805-063607,2025-08-05 06:36:07,3.0.0,Financial Services,7.54936915
20250805-063607,2025-08-05 06:36:07,3.0.0,Healthcare,9.322034
20250805-063607,2025-08-05 06:36:07,3.0.0,Industrials,8.84575225
20250805-063607,2025-08-05 06:36:07,3.0.0,Real Estate,8.038462
