Ticker,Name,Sector,Industry
AALR3.SA,Alliança Saúde e Participações S.A.,Healthcare,Diagnostics & Research
ABCB4.SA,Banco ABC Brasil S.A.,Financial Services,Banks - Regional
ABEV3.SA,Ambev S.A.,Consumer Defensive,Beverages - Brewers
AERI3.SA,Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A.,Industrials,Specialty Industrial Machinery
AGRO3.SA,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Consumer Defensive,Farm Products
AGXY3.SA,AgroGalaxy Participações S.A.,Basic Materials,Agricultural Inputs
ALOS3.SA,Allos S.A.,Real Estate,Real Estate Services
ALPA4.SA,Alpargatas S.A.,Consumer Cyclical,Footwear & Accessories
ALUP11.SA,Alupar Investimento S.A.,Utilities,Utilities - Renewable
ALUP3.SA,Alupar Investimento S.A.,Utilities,Utilities - Renewable
AMBP3.SA,Ambipar Participações e Empreendimentos S.A.,Industrials,Waste Management
ANIM3.SA,Ânima Holding S.A.,Consumer Defensive,Education & Training Services
ASAI3.SA,Sendas Distribuidora S.A.,Consumer Defensive,Grocery Stores
AURA33.SA,Aura Minerals Inc.,Basic Materials,Gold
AURE3.SA,Auren Energia S.A.,Utilities,Utilities - Renewable
AZUL4.SA,Azul S.A.,Industrials,Airlines
AZZA3.SA,Azzas 2154 S.A.,Consumer Cyclical,Footwear & Accessories
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges
B3SA4.SA,N/A,Error,HTTP Error 404:
BBAS3.SA,Banco do Brasil S.A.,Financial Services,Banks - Regional
BBDC3.SA,Banco Bradesco S.A.,Financial Services,Banks - Regional
BBDC4.SA,Banco Bradesco S.A.,Financial Services,Banks - Regional
BBSE3.SA,BB Seguridade Participações S.A.,Financial Services,Insurance - Diversified
BEEF3.SA,Minerva S.A.,Consumer Defensive,Farm Products
BEEF9.SA,Minerva S.A.,,
BHIA3.SA,Grupo Casas Bahia S.A.,Consumer Cyclical,Specialty Retail
BKBR3.SA,N/A,Unknown,Unknown
BLAU3.SA,Blau Farmacêutica S.A.,Healthcare,Drug Manufacturers - Specialty & Generic
BMOB3.SA,Bemobi Mobile Tech S.A.,Communication Services,Entertainment
BPAC11.SA,Banco BTG Pactual S.A.,Financial Services,Capital Markets
BPAN4.SA,Banco Pan S.A.,Financial Services,Banks - Regional
BRFS33.SA,N/A,Error,HTTP Error 404:
BRIT3.SA,N/A,Unknown,Unknown
BRKM5.SA,Braskem S.A.,Basic Materials,Chemicals
BRML3.SA,N/A,Unknown,Unknown
BRSR6.SA,Banco do Estado do Rio Grande do Sul S.A.,Financial Services,Banks - Regional
BTOW3.SA,N/A,Unknown,Unknown
CAML3.SA,Camil Alimentos S.A.,Consumer Defensive,Packaged Foods
CASH3.SA,Méliuz S.A.,Communication Services,Internet Content & Information
CBAV3.SA,Companhia Brasileira de Alumínio,Basic Materials,Aluminum
CEAB3.SA,C&A Modas S.A.,Consumer Cyclical,Specialty Retail
CFRB3.SA,N/A,Error,HTTP Error 404:
CMIG3.SA,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified
CMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified
CMIN3.SA,CSN Mineração S.A.,Basic Materials,Steel
COGN3.SA,Cogna Educação S.A.,Consumer Defensive,Education & Training Services
CPFE3.SA,CPFL Energia S.A.,Utilities,Utilities - Regulated Electric
CPLE3.SA,Companhia Paranaense de Energia - COPEL,Utilities,Utilities - Regulated Electric
CPLE6.SA,Companhia Paranaense de Energia - COPEL,Utilities,Utilities - Regulated Electric
CSAN3.SA,Cosan S.A.,Energy,Oil & Gas Refining & Marketing
CSED3.SA,Cruzeiro do Sul Educacional S.A.,Consumer Defensive,Education & Training Services
CSMG3.SA,COPASA ON NM,Utilities,Utilities - Regulated Water
CSNA3.SA,Companhia Siderúrgica Nacional,Basic Materials,Steel
CURY3.SA,Cury Construtora e Incorporadora S.A.,Real Estate,Real Estate - Development
CXSE3.SA,Caixa Seguridade Participações S.A.,Financial Services,Insurance - Diversified
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Consumer Cyclical,Residential Construction
DASA3.SA,Diagnósticos da América S.A.,Healthcare,Diagnostics & Research
DESK3.SA,Desktop S.A.,Communication Services,Telecom Services
DIRR3.SA,Direcional Engenharia S.A.,Real Estate,Real Estate - Development
DMFV3.SA,N/A,Error,HTTP Error 404:
DXCO3.SA,Dexco S.A.,Basic Materials,Lumber & Wood Production
ECOR3.SA,EcoRodovias Infraestrutura e Logística S.A.,Industrials,Infrastructure Operations
EGIE3.SA,Engie Brasil Energia S.A.,Utilities,Utilities - Renewable
ELET3.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities,Utilities - Renewable
ELET6.SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities,Utilities - Renewable
EMBR3.SA,Embraer S.A.,Industrials,Aerospace & Defense
ENEV3.SA,Eneva S.A.,Utilities,Utilities - Diversified
ENGI11.SA,Energisa S.A.,Utilities,Utilities - Regulated Electric
ENJU3.SA,Enjoei S.A.,Consumer Cyclical,Internet Retail
EQTL3.SA,Equatorial S.A.,Utilities,Utilities - Regulated Electric
EVEN3.SA,Even Construtora e Incorporadora S.A.,Real Estate,Real Estate - Development
EZTC3.SA,EZTEC Empreendimentos e Participações S.A.,Real Estate,Real Estate - Development
FESA4.SA,Cia de Ferro Ligas da Bahia S.A. - FERBASA,Basic Materials,Steel
FIQE3.SA,Unifique Telecomunicações S.A.,Communication Services,Telecom Services
FLRY3.SA,Fleury S.A.,Healthcare,Diagnostics & Research
FRAS3.SA,Fras-le S.A.,Consumer Cyclical,Auto Parts
G2DI33.SA,"G2D Investments, Ltd.",Financial Services,Asset Management
GFSA3.SA,Gafisa S.A.,Consumer Cyclical,Residential Construction
GGBR4.SA,Gerdau S.A.,Basic Materials,Steel
GMAT3.SA,Grupo Mateus S.A.,Consumer Cyclical,Department Stores
GNDI3.SA,N/A,Unknown,Unknown
GUAR3.SA,Guararapes Confecções S.A.,Consumer Cyclical,Apparel Retail
HAPV3.SA,Hapvida Participações e Investimentos S.A.,Financial Services,Insurance - Life
HBSA3.SA,Hidrovias do Brasil S.A.,Industrials,Integrated Freight & Logistics
HYPE3.SA,Hypera S.A.,Healthcare,Drug Manufacturers - Specialty & Generic
IGTA3.SA,N/A,Unknown,Unknown
IGTI11.SA,Iguatemi S.A.,Real Estate,Real Estate Services
MEAL3.SA,International Meal Company Alimentação S.A.,Consumer Cyclical,Restaurants
INTB3.SA,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Technology,Communication Equipment
RANI3.SA,Irani Papel e Embalagem S.A.,Consumer Cyclical,Packaging & Containers
IRBR3.SA,IRB-Brasil Resseguros S.A.,Financial Services,Insurance - Reinsurance
ISAE4.SA,ISA Energía Brasil S.A.,Utilities,Utilities - Independent Power Producers
ITSA4.SA,Itaúsa S.A.,Industrials,Conglomerates
ITUB3.SA,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional
ITUB4.SA,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional
JALL3.SA,Jalles Machado S/A,Consumer Defensive,Confectioners
JBSS32.SA,JBS N.V.,Consumer Defensive,Packaged Foods
JHSF3.SA,JHSF Participações S.A.,Real Estate,Real Estate - Development
JSLG3.SA,JSL S.A.,Industrials,Integrated Freight & Logistics
